,author id,name,paper id
1575,c/WingKwonChan,Wing Kwong Chan,conf/icse/WangCCZ09
1576,01/1844-4,Zhenyu Zhang 0004,conf/icse/WangCCZ09
1577,55/5212,Jeff Winter,conf/icse/WinterRH09
1578,45/1997,Kari Rönkkö,conf/icse/WinterRH09
1579,73/3957,Mats Hellman,conf/icse/WinterRH09
1580,19/3622-1,Thomas Zimmermann 0001,conf/icse/ZimmermannPSB09
1581,08/4181,Rahul Premraj,conf/icse/ZimmermannPSB09
1582,78/6446,Jonathan Sillito,conf/icse/ZimmermannPSB09
1583,62/2611,Silvia Breu,conf/icse/ZimmermannPSB09
1584,59/2858,Andrea Arcuri,conf/icse/Arcuri08
1585,19/3784,Peggy Cellier,conf/icse/Cellier08
1586,59/1161,Lidia Fuentes,conf/icse/FuentesMS08
1587,97/2692,Jorge Manrique,conf/icse/FuentesMS08
1588,35/2658-2,Pablo Sánchez 0002,conf/icse/FuentesMS08
1589,181/2345,Amy J. Ko,conf/icse/KoM08
1590,54/1970,Brad A. Myers,conf/icse/KoM08
1591,181/2345,Amy J. Ko,conf/icse/KoM08a
1592,54/1970,Brad A. Myers,conf/icse/KoM08a
1593,82/6682,José Carlos Bregieiro Ribeiro,conf/icse/RibeiroRV08
1594,37/2644,Mário Zenha Rela,conf/icse/RibeiroRV08
1595,v/inciscoFernandezdeVega,Francisco Fernández de Vega,conf/icse/RibeiroRV08
1596,45/1997,Kari Rönkkö,conf/icse/RonkkoWH08
1597,55/5212,Jeff Winter,conf/icse/RonkkoWH08
1598,73/3957,Mats Hellman,conf/icse/RonkkoWH08
1599,s/MargaretAnneDStorey,Margaret-Anne D. Storey,conf/icse/StoreyRBMS08
1600,27/1925,Jody Ryall,conf/icse/StoreyRBMS08
1601,13/2203,R. Ian Bull,conf/icse/StoreyRBMS08
1602,18/3828,Del Myers,conf/icse/StoreyRBMS08
1603,81/3517,Janice Singer,conf/icse/StoreyRBMS08
1604,31/6028,Xiaoyin Wang,conf/icse/WangZXAS08
1605,z/LuZhang1,Lu Zhang 0023,conf/icse/WangZXAS08
1606,x/TaoXie,Tao Xie 0001,conf/icse/WangZXAS08
1607,65/4421,John Anvik,conf/icse/WangZXAS08
1608,76/2820,Jiasu Sun,conf/icse/WangZXAS08
1609,54/530,Cemal Yilmaz,conf/icse/YilmazPW08
1610,23/502,Amit M. Paradkar,conf/icse/YilmazPW08
1611,83/2964,Clay Williams,conf/icse/YilmazPW08
1612,95/3446,Yanbing Yu,conf/icse/YuJH08
1613,57/6158,James A. Jones,conf/icse/YuJH08
1614,h/MaryJeanHarrold,Mary Jean Harrold,conf/icse/YuJH08
1615,55/521-2,Hong Zhu 0002,conf/icse/ZhuWB08
1616,w/WEricWong,W. Eric Wong,conf/icse/ZhuWB08
1617,74/4321,Fevzi Belli,conf/icse/ZhuWB08
1618,68/3208,Robin Abraham,conf/icse/AbrahamE07
1619,e/MErwig,Martin Erwig,conf/icse/AbrahamE07
1620,29/1046,Ophelia C. Chesley,conf/icse/ChesleyRRT07
1621,55/4431,Xiaoxia Ren,conf/icse/ChesleyRRT07
1622,r/BarbaraGRyder,Barbara G. Ryder,conf/icse/ChesleyRRT07
1623,32/524,Frank Tip,conf/icse/ChesleyRRT07
1624,118/7794,James A. Clause,conf/icse/ClauseO07
1625,35/805,Alessandro Orso,conf/icse/ClauseO07
1626,e/SebastianGElbaum,Sebastian G. Elbaum,conf/icse/ElbaumPDJ07
1627,44/603,Suzette Person,conf/icse/ElbaumPDJ07
1628,99/3819,Jonathan Dokulil,conf/icse/ElbaumPDJ07
1629,67/5433,Matthew Jorde,conf/icse/ElbaumPDJ07
1630,16/4993,Paul Grisham,conf/icse/GrishamHP07
1631,35/624,Matthew J. Hawthorne,conf/icse/GrishamHP07
1632,p/DEPerry,Dewayne E. Perry,conf/icse/GrishamHP07
1633,49/6161,Mika Karaila,conf/icse/KarailaS07
1634,82/3938,Tarja Systä,conf/icse/KarailaS07
1635,82/2136,Thomas Raffetseder,conf/icse/RaffetsederKK07
1636,k/EnginKirda,Engin Kirda,conf/icse/RaffetsederKK07
1637,k/ChristopherKruegel,Christopher Kruegel,conf/icse/RaffetsederKK07
