,keyword,paper id
581,bug,conf/icse/TianLL12
582,fault localization,conf/icse/Wen12
583,bug,conf/icse/XuanJRZ12
584,bug,conf/icse/ZhangLY12
585,report,conf/icse/ZhouZL12
586,bug,conf/icse/ZhouZL12
587,bug,conf/icse/ZimmermannNGM12
588,report,conf/icse/BoehmV11
589,bug,conf/icse/BortisH11
590,debugging,conf/icse/ChandraTBB11
591,debug,conf/icse/ChandraTBB11
592,bug,conf/icse/ChandraTBB11
593,bug,conf/icse/CorleyKEL11
594,report,conf/icse/FosterS11
595,debugging,conf/icse/GuBS11
596,debug,conf/icse/GuBS11
597,bug,conf/icse/GuBS11
598,debugging,conf/icse/OhHVP11
599,debug,conf/icse/OhHVP11
600,bug,conf/icse/OhHVP11
601,debugging,conf/icse/RiboiraAR11
602,debug,conf/icse/RiboiraAR11
603,bug,conf/icse/RiboiraAR11
604,debugging,conf/icse/SoffaWM11
605,debug,conf/icse/SoffaWM11
606,bug,conf/icse/SoffaWM11
607,bug,conf/icse/TamrawiNAN11
608,bug,conf/icse/TanZP11
609,bug,conf/icse/WangS11
610,report,conf/icse/Weber-Jahnke11
611,report,conf/icse/ZhangJHHZ11
612,fault localization,conf/icse/ArtziDTP10
613,strategy,conf/icse/CounsellHHBD10
614,bug,conf/icse/GigerPG10
615,bug,conf/icse/GuBHS10
616,bug,conf/icse/GuoZNM10
617,bug,conf/icse/NainarL10
618,bug,conf/icse/NguyenNPAN10
619,fault localization,conf/icse/ParkVH10
620,report,conf/icse/PaulischZ10
621,report,conf/icse/RastkarMM10
622,bug,conf/icse/RastkarMM10
623,bug,conf/icse/RungtaM10
624,report,conf/icse/SahooCA10
625,bug,conf/icse/SahooCA10
626,report,conf/icse/SongWXZM10
627,bug,conf/icse/SongWXZM10
628,report,conf/icse/StroblBG10
629,report,conf/icse/SunLWJK10
630,bug,conf/icse/SunLWJK10
631,debugging,conf/icse/ZhangYZCY10
632,debug,conf/icse/ZhangYZCY10
633,bug,conf/icse/ZhangYZCY10
634,bug,conf/icse/ArandaV09
635,bug,conf/icse/BallBHMQ09
636,strategy,conf/icse/CabotEHLLM09
637,debugging,conf/icse/ChilimbiLMNV09
638,debug,conf/icse/ChilimbiLMNV09
639,bug,conf/icse/ChilimbiLMNV09
640,report,conf/icse/CrabtreeKSE09
641,report,conf/icse/DranidisMS09
642,debugging,conf/icse/HaoZZSM09
643,debug,conf/icse/HaoZZSM09
644,bug,conf/icse/HaoZZSM09
645,report,conf/icse/HolschuhPHZPZ09
646,report,conf/icse/StirewaltRHZ09
647,fault localization,conf/icse/WangCCZ09
648,report,conf/icse/WinterRH09
649,bug,conf/icse/ZimmermannPSB09
650,bug,conf/icse/Arcuri08
651,fault localization,conf/icse/Cellier08
652,debugging,conf/icse/FuentesMS08
653,debug,conf/icse/FuentesMS08
654,bug,conf/icse/FuentesMS08
655,debugging,conf/icse/KoM08
656,debug,conf/icse/KoM08
657,bug,conf/icse/KoM08
658,debugging,conf/icse/KoM08a
659,debug,conf/icse/KoM08a
660,bug,conf/icse/KoM08a
661,strategy,conf/icse/RibeiroRV08
662,report,conf/icse/RonkkoWH08
663,bug,conf/icse/StoreyRBMS08
664,report,conf/icse/WangZXAS08
665,bug,conf/icse/WangZXAS08
666,fault localization,conf/icse/YilmazPW08
667,fault localization,conf/icse/YuJH08
668,report,conf/icse/ZhuWB08
669,debug,conf/icse/AbrahamE07
670,bug,conf/icse/AbrahamE07
671,fault localization,conf/icse/ChesleyRRT07
672,debugging,conf/icse/ClauseO07
673,debug,conf/icse/ClauseO07
674,bug,conf/icse/ClauseO07
675,bug,conf/icse/ElbaumPDJ07
676,report,conf/icse/GrishamHP07
677,report,conf/icse/KarailaS07
678,report,conf/icse/RaffetsederKK07
679,report,conf/icse/RunesonAN07
680,strategy,conf/icse/WeynsH07
681,strategy,conf/icse/WojcickiS07
682,report,conf/icse/Yu007
683,report,conf/icse/ZhuWP07
684,report,conf/icse/Anvik06
685,bug,conf/icse/Anvik06
686,bug,conf/icse/AnvikHM06
687,fault localization,conf/icse/BaudryFT06
688,strategy,conf/icse/DelamaroVM06
689,fault localization,conf/icse/Hao06
690,debugging,conf/icse/Ko06
691,debug,conf/icse/Ko06
692,bug,conf/icse/Ko06
693,debugging,conf/icse/Misherghi06
694,debug,conf/icse/Misherghi06
695,bug,conf/icse/Misherghi06
696,report,conf/icse/MohagheghiCB06
697,report,conf/icse/BlahaMSSV05
698,report,conf/icse/GortonZ05
699,report,conf/icse/HeitmeyerP05
700,bug,conf/icse/MichailX05
701,report,conf/icse/PankratiusS05
702,strategy,conf/icse/PankratiusS05a
703,fault localization,conf/icse/RuthruffBR05
704,report,conf/icse/VanDeGriftSSB05
705,report,conf/icse/GortonH04
706,report,conf/icse/HaRCRD04
707,report,conf/icse/HasselbringRJSTK04
708,debugging,conf/icse/HenkelD04
709,debug,conf/icse/HenkelD04
