,author id,name,paper id
1558,65/7056,Markus Pauser,conf/icse/HolschuhPHZPZ09
1559,32/7057,Kim Herzig,conf/icse/HolschuhPHZPZ09
1560,19/3622-1,Thomas Zimmermann 0001,conf/icse/HolschuhPHZPZ09
1561,08/4181,Rahul Premraj,conf/icse/HolschuhPHZPZ09
1562,z/AndreasZeller,Andreas Zeller,conf/icse/HolschuhPHZPZ09
1563,s/REKurtStirewalt,R. E. Kurt Stirewalt,conf/icse/StirewaltRHZ09
1564,75/4670,Spencer Rugaber,conf/icse/StirewaltRHZ09
1565,84/2467,Hwa-You Hsu,conf/icse/StirewaltRHZ09
1566,28/1014,David Zook,conf/icse/StirewaltRHZ09
1567,21/3775,Xinming Wang,conf/icse/WangCCZ09
1568,c/SCCheung,Shing-Chi Cheung,conf/icse/WangCCZ09
1569,c/WingKwonChan,Wing Kwong Chan,conf/icse/WangCCZ09
1570,01/1844-4,Zhenyu Zhang 0004,conf/icse/WangCCZ09
1571,55/5212,Jeff Winter,conf/icse/WinterRH09
1572,45/1997,Kari Rönkkö,conf/icse/WinterRH09
1573,73/3957,Mats Hellman,conf/icse/WinterRH09
1574,19/3622-1,Thomas Zimmermann 0001,conf/icse/ZimmermannPSB09
1575,08/4181,Rahul Premraj,conf/icse/ZimmermannPSB09
1576,78/6446,Jonathan Sillito,conf/icse/ZimmermannPSB09
1577,62/2611,Silvia Breu,conf/icse/ZimmermannPSB09
1578,59/2858,Andrea Arcuri,conf/icse/Arcuri08
1579,19/3784,Peggy Cellier,conf/icse/Cellier08
1580,59/1161,Lidia Fuentes,conf/icse/FuentesMS08
1581,97/2692,Jorge Manrique,conf/icse/FuentesMS08
1582,35/2658-2,Pablo Sánchez 0002,conf/icse/FuentesMS08
1583,181/2345,Amy J. Ko,conf/icse/KoM08
1584,54/1970,Brad A. Myers,conf/icse/KoM08
1585,181/2345,Amy J. Ko,conf/icse/KoM08a
1586,54/1970,Brad A. Myers,conf/icse/KoM08a
1587,82/6682,José Carlos Bregieiro Ribeiro,conf/icse/RibeiroRV08
1588,37/2644,Mário Zenha Rela,conf/icse/RibeiroRV08
1589,v/inciscoFernandezdeVega,Francisco Fernández de Vega,conf/icse/RibeiroRV08
1590,45/1997,Kari Rönkkö,conf/icse/RonkkoWH08
1591,55/5212,Jeff Winter,conf/icse/RonkkoWH08
1592,73/3957,Mats Hellman,conf/icse/RonkkoWH08
1593,s/MargaretAnneDStorey,Margaret-Anne D. Storey,conf/icse/StoreyRBMS08
1594,27/1925,Jody Ryall,conf/icse/StoreyRBMS08
1595,13/2203,R. Ian Bull,conf/icse/StoreyRBMS08
1596,18/3828,Del Myers,conf/icse/StoreyRBMS08
1597,81/3517,Janice Singer,conf/icse/StoreyRBMS08
1598,31/6028,Xiaoyin Wang,conf/icse/WangZXAS08
1599,z/LuZhang1,Lu Zhang 0023,conf/icse/WangZXAS08
1600,x/TaoXie,Tao Xie 0001,conf/icse/WangZXAS08
1601,65/4421,John Anvik,conf/icse/WangZXAS08
1602,76/2820,Jiasu Sun,conf/icse/WangZXAS08
1603,54/530,Cemal Yilmaz,conf/icse/YilmazPW08
1604,23/502,Amit M. Paradkar,conf/icse/YilmazPW08
1605,83/2964,Clay Williams,conf/icse/YilmazPW08
1606,95/3446,Yanbing Yu,conf/icse/YuJH08
1607,57/6158,James A. Jones,conf/icse/YuJH08
1608,h/MaryJeanHarrold,Mary Jean Harrold,conf/icse/YuJH08
1609,55/521-2,Hong Zhu 0002,conf/icse/ZhuWB08
1610,w/WEricWong,W. Eric Wong,conf/icse/ZhuWB08
1611,74/4321,Fevzi Belli,conf/icse/ZhuWB08
