,doi,forum,forum id,paper id,title,year
783,10.1016/J.CHB.2014.09.008,Comput. Hum. Behav.,journals/chb,journals/chb/StrassbergRM14,The sending and receiving of sexually explicit cell phone photos (&quot;Sexting&quot;) while in high school - One college&apos;s students&apos; retrospective reports.,2014
784,10.1016/J.CHB.2014.05.036,Comput. Hum. Behav.,journals/chb,journals/chb/UhlsMMGSZG14,Five days at outdoor education camp without screens improves preteen skills with nonverbal emotion cues.,2014
785,10.1016/J.CHB.2012.10.016,Comput. Hum. Behav.,journals/chb,journals/chb/AmelsvoortJKP13,Using non-verbal cues to (automatically) assess children&apos;s performance difficulties with arithmetic problems.,2013
786,10.1016/J.CHB.2013.06.014,Comput. Hum. Behav.,journals/chb,journals/chb/BeaussartK13,Gender differences and the effects of perceived internet privacy on self-reports of sexual behavior and sociosexuality.,2013
787,10.1016/J.CHB.2012.07.021,Comput. Hum. Behav.,journals/chb,journals/chb/BillieuxLAKPZT13,Why do you play World of Warcraft? An in-depth exploration of self-reported motivations to play online and in-game behaviours in the virtual world of Azeroth.,2013
788,10.1016/J.CHB.2013.01.004,Comput. Hum. Behav.,journals/chb,journals/chb/HaslerTF13,Virtual research assistants - Replacing human interviewers by automated avatars in virtual worlds.,2013
789,10.1016/J.CHB.2013.05.002,Comput. Hum. Behav.,journals/chb,journals/chb/JohnsonBOR13,Learning from abstract and contextualized representations - The effect of verbal guidance.,2013
790,10.1016/J.CHB.2012.11.007,Comput. Hum. Behav.,journals/chb,journals/chb/Junco13,Comparing actual and self-reported measures of Facebook use.,2013
791,10.1016/J.CHB.2012.10.001,Comput. Hum. Behav.,journals/chb,journals/chb/KimKK13,Am I acceptable to you? Effect of a robot&apos;s verbal language forms on people&apos;s social distance from robots.,2013
792,10.1016/J.CHB.2012.11.020,Comput. Hum. Behav.,journals/chb,journals/chb/KotlyarA13,The effect of nonverbal cues on relationship formation.,2013
793,10.1016/J.CHB.2013.03.004,Comput. Hum. Behav.,journals/chb,journals/chb/LiaoK13,Online shopping delivery delay - Finding a psychological recovery strategy by online consumer experiences.,2013
794,10.1016/J.CHB.2012.02.005,Comput. Hum. Behav.,journals/chb,journals/chb/Agina12b,The effect of nonhuman&apos;s external regulation on young children&apos;s creative thinking and thinking aloud verbalization during learning mathematical tasks.,2012
795,10.1016/J.CHB.2012.06.017,Comput. Hum. Behav.,journals/chb,journals/chb/BehrendTTS12,The effects of avatar appearance on interviewer ratings in virtual employment interviews.,2012
796,10.1016/J.CHB.2012.04.005,Comput. Hum. Behav.,journals/chb,journals/chb/EtcheverryBTMM12,Age differences in information finding tasks - Performance and visual exploration strategy with different web page layouts.,2012
797,10.1016/J.CHB.2012.01.028,Comput. Hum. Behav.,journals/chb,journals/chb/KeltonP12,Internet financial reporting - The effects of information presentation format and content differences on investor decision making.,2012
798,10.1016/J.CHB.2011.08.013,Comput. Hum. Behav.,journals/chb,journals/chb/OkazakiY12,Responses to an advergaming campaign on a mobile social networking site - An initial research report.,2012
799,10.1016/J.CHB.2011.09.001,Comput. Hum. Behav.,journals/chb,journals/chb/WestermanSH12,A social network as information - The effect of system generated reports of connectedness on credibility on Twitter.,2012
800,10.1016/J.CHB.2010.07.029,Comput. Hum. Behav.,journals/chb,journals/chb/BrazSRM11,A semi-automatic strategy for achieving learning content and practice repurposing.,2011
801,10.1016/J.CHB.2011.04.011,Comput. Hum. Behav.,journals/chb,journals/chb/CamposZBJM11,Reliability and validity of self-reported burnout in college students - A cross randomized comparison of paper-and-pencil vs. online administration.,2011
802,10.1016/J.CHB.2009.12.010,Comput. Hum. Behav.,journals/chb,journals/chb/EssalmiAJKG10,A fully personalization strategy of E-learning scenarios.,2010
803,10.1016/J.CHB.2010.01.010,Comput. Hum. Behav.,journals/chb,journals/chb/HedmanLRFCLA10,Internet administration of self-report measures commonly used in research on social anxiety disorder - A psychometric evaluation.,2010
804,10.1016/J.CHB.2010.03.009,Comput. Hum. Behav.,journals/chb,journals/chb/LeeS10,An empirical investigation of electronic word-of-mouth - Informational motive and corporate response strategy.,2010
805,10.1016/J.CHB.2008.10.008,Comput. Hum. Behav.,journals/chb,journals/chb/BaylorK09,Designing nonverbal communication for pedagogical agents - When less is more.,2009
806,10.1016/J.CHB.2008.09.004,Comput. Hum. Behav.,journals/chb,journals/chb/ReynoldsB09,Effect of communication media on developmental relationships - Self-reported and observed behaviors.,2009
807,10.1016/J.CHB.2007.02.021,Comput. Hum. Behav.,journals/chb,journals/chb/BatesC08,"The impact of computer versus paper-pencil survey, and individual versus group administration, on self-reports of sensitive behaviors.",2008
808,10.1016/J.CHB.2007.01.019,Comput. Hum. Behav.,journals/chb,journals/chb/ButtP08,Personality and self reported mobile phone use.,2008
809,10.1016/J.CHB.2008.04.011,Comput. Hum. Behav.,journals/chb,journals/chb/CiavarroDG08,Implicit learning as a design strategy for learning games - Alert Hockey.,2008
810,10.1016/J.CHB.2007.07.013,Comput. Hum. Behav.,journals/chb,journals/chb/GhineaC08a,Measuring quality of perception in distributed multimedia - Verbalizers vs. imagers.,2008
811,10.1016/J.CHB.2008.02.017,Comput. Hum. Behav.,journals/chb,journals/chb/RitzhauptGB08,The effects of time-compressed audio and verbal redundancy on learner performance and satisfaction.,2008
